student,k,rubric,bound
63,5,1,5
64,5,1,5
65,5,1,5
66,4,1,5
67,5,1,5
68,1,1,5
69,4,1,5
70,5,1,5
71,4,1,5
72,5,1,5
73,4,1,5
74,5,1,5
75,4,1,5
76,5,1,5
77,4,1,5
78,5,1,5
79,4,1,5
80,5,1,5
81,5,1,5
82,4,1,5
83,5,1,5
84,4,1,5
85,5,1,5
86,5,1,5
87,5,1,5
88,5,1,5
89,5,1,5
90,5,1,5
91,5,1,5
92,5,1,5
93,4,1,5
21,5,1,5
94,5,1,5
95,5,1,5
96,5,1,5
97,4,1,5
98,4,1,5
99,5,1,5
100,4,1,5
101,3,1,5
102,4,1,5
103,5,1,5
104,5,1,5
105,3,1,5
106,5,1,5
107,5,1,5
108,4,1,5
109,5,1,5
110,5,1,5
111,5,1,5
112,3,1,5
113,5,1,5
114,5,1,5
115,4,1,5
116,4,1,5
117,5,1,5
118,5,1,5
119,5,1,5
120,4,1,5
121,5,1,5
122,5,1,5
123,5,1,5
124,5,1,5
125,5,1,5
126,4,1,5
127,4,1,5
128,4,1,5
129,5,1,5
130,5,1,5
131,5,1,5
132,4,1,5
133,5,1,5
134,5,1,5
135,5,1,5
136,5,1,5
137,5,1,5
138,5,1,5
139,5,1,5
140,5,1,5
141,5,1,5
142,4,1,5
143,5,1,5
144,5,1,5
145,5,1,5
146,5,1,5
147,5,1,5
148,5,1,5
149,4,1,5
150,5,1,5
151,5,1,5
152,4,1,5
153,3,1,5
154,5,1,5
155,5,1,5
156,5,1,5
157,1,1,5
158,5,1,5
159,5,1,5
160,5,1,5
161,4,1,5
63,0,2,3
64,1,2,3
65,3,2,3
66,0,2,3
67,0,2,3
68,0,2,3
69,3,2,3
70,0,2,3
71,0,2,3
72,3,2,3
73,0,2,3
74,2,2,3
75,0,2,3
76,1,2,3
77,0,2,3
78,3,2,3
79,2,2,3
80,2,2,3
81,3,2,3
82,2,2,3
83,0,2,3
84,2,2,3
85,0,2,3
86,1,2,3
87,3,2,3
88,2,2,3
89,0,2,3
90,2,2,3
91,3,2,3
92,3,2,3
93,0,2,3
21,2,2,3
94,0,2,3
95,0,2,3
96,2,2,3
97,0,2,3
98,2,2,3
99,3,2,3
100,1,2,3
101,2,2,3
102,2,2,3
103,1,2,3
104,2,2,3
105,3,2,3
106,1,2,3
107,2,2,3
108,2,2,3
109,2,2,3
110,1,2,3
111,3,2,3
112,1,2,3
113,1,2,3
114,3,2,3
115,2,2,3
116,0,2,3
117,0,2,3
118,3,2,3
119,1,2,3
120,2,2,3
121,1,2,3
122,3,2,3
123,2,2,3
124,3,2,3
125,3,2,3
126,2,2,3
127,0,2,3
128,2,2,3
129,1,2,3
130,0,2,3
131,2,2,3
132,2,2,3
133,0,2,3
134,2,2,3
135,2,2,3
136,2,2,3
137,0,2,3
138,3,2,3
139,3,2,3
140,3,2,3
141,1,2,3
142,1,2,3
143,2,2,3
144,2,2,3
145,1,2,3
146,0,2,3
147,2,2,3
148,3,2,3
149,1,2,3
150,3,2,3
151,1,2,3
152,0,2,3
153,0,2,3
154,2,2,3
155,2,2,3
156,2,2,3
157,0,2,3
158,1,2,3
159,3,2,3
160,1,2,3
161,2,2,3
63,3,3,3
64,0,3,3
65,3,3,3
66,0,3,3
67,0,3,3
68,0,3,3
69,1,3,3
70,0,3,3
71,1,3,3
72,1,3,3
73,3,3,3
74,0,3,3
75,0,3,3
76,1,3,3
77,0,3,3
78,1,3,3
79,3,3,3
80,2,3,3
81,0,3,3
82,2,3,3
83,0,3,3
84,1,3,3
85,1,3,3
86,3,3,3
87,3,3,3
88,1,3,3
89,2,3,3
90,3,3,3
91,0,3,3
92,2,3,3
93,2,3,3
21,0,3,3
94,3,3,3
95,0,3,3
96,1,3,3
97,0,3,3
98,0,3,3
99,1,3,3
100,1,3,3
101,0,3,3
102,1,3,3
103,3,3,3
104,1,3,3
105,1,3,3
106,2,3,3
107,3,3,3
108,0,3,3
109,1,3,3
110,3,3,3
111,1,3,3
112,2,3,3
113,1,3,3
114,3,3,3
115,0,3,3
116,1,3,3
117,1,3,3
118,3,3,3
119,0,3,3
120,0,3,3
121,1,3,3
122,2,3,3
123,0,3,3
124,3,3,3
125,2,3,3
126,3,3,3
127,0,3,3
128,1,3,3
129,2,3,3
130,0,3,3
131,1,3,3
132,1,3,3
133,0,3,3
134,0,3,3
135,0,3,3
136,1,3,3
137,0,3,3
138,0,3,3
139,3,3,3
140,3,3,3
141,1,3,3
142,0,3,3
143,0,3,3
144,1,3,3
145,2,3,3
146,0,3,3
147,0,3,3
148,3,3,3
149,0,3,3
150,0,3,3
151,1,3,3
152,1,3,3
153,0,3,3
154,1,3,3
155,0,3,3
156,2,3,3
157,0,3,3
158,2,3,3
159,1,3,3
160,0,3,3
161,0,3,3
63,0,4,3
64,0,4,3
65,3,4,3
66,2,4,3
67,0,4,3
68,0,4,3
69,3,4,3
70,0,4,3
71,2,4,3
72,3,4,3
73,0,4,3
74,3,4,3
75,3,4,3
76,3,4,3
77,3,4,3
78,3,4,3
79,3,4,3
80,3,4,3
81,1,4,3
82,3,4,3
83,0,4,3
84,2,4,3
85,3,4,3
86,3,4,3
87,2,4,3
88,3,4,3
89,1,4,3
90,3,4,3
91,3,4,3
92,3,4,3
93,0,4,3
21,3,4,3
94,3,4,3
95,0,4,3
96,2,4,3
97,0,4,3
98,3,4,3
99,3,4,3
100,2,4,3
101,3,4,3
102,2,4,3
103,2,4,3
104,3,4,3
105,3,4,3
106,3,4,3
107,3,4,3
108,1,4,3
109,3,4,3
110,1,4,3
111,3,4,3
112,1,4,3
113,3,4,3
114,2,4,3
115,3,4,3
116,0,4,3
117,0,4,3
118,3,4,3
119,2,4,3
120,2,4,3
121,0,4,3
122,3,4,3
123,2,4,3
124,3,4,3
125,3,4,3
126,3,4,3
127,0,4,3
128,1,4,3
129,3,4,3
130,0,4,3
131,1,4,3
132,2,4,3
133,0,4,3
134,2,4,3
135,1,4,3
136,2,4,3
137,3,4,3
138,2,4,3
139,3,4,3
140,3,4,3
141,2,4,3
142,2,4,3
143,2,4,3
144,3,4,3
145,3,4,3
146,0,4,3
147,3,4,3
148,3,4,3
149,2,4,3
150,3,4,3
151,3,4,3
152,3,4,3
153,2,4,3
154,2,4,3
155,0,4,3
156,2,4,3
157,0,4,3
158,2,4,3
159,3,4,3
160,1,4,3
161,3,4,3
63,0,5,3
64,3,5,3
65,3,5,3
66,1,5,3
67,2,5,3
68,0,5,3
69,1,5,3
70,1,5,3
71,1,5,3
72,1,5,3
73,3,5,3
74,0,5,3
75,3,5,3
76,1,5,3
77,2,5,3
78,3,5,3
