student,k,rubric,bound
2,5,1,5
3,5,1,5
4,5,1,5
5,5,1,5
6,5,1,5
7,5,1,5
8,5,1,5
9,5,1,5
10,5,1,5
11,5,1,5
12,5,1,5
13,5,1,5
14,5,1,5
15,5,1,5
16,5,1,5
17,5,1,5
19,5,1,5
20,4,1,5
21,5,1,5
94,5,1,5
22,5,1,5
23,5,1,5
24,5,1,5
25,5,1,5
26,5,1,5
27,5,1,5
28,5,1,5
162,5,1,5
29,5,1,5
106,5,1,5
30,5,1,5
31,5,1,5
32,5,1,5
33,5,1,5
34,5,1,5
36,5,1,5
163,5,1,5
37,5,1,5
38,5,1,5
39,5,1,5
40,5,1,5
41,5,1,5
42,5,1,5
43,5,1,5
44,5,1,5
45,5,1,5
164,3,1,5
47,5,1,5
48,4,1,5
49,5,1,5
50,5,1,5
51,5,1,5
165,5,1,5
52,5,1,5
53,5,1,5
54,5,1,5
55,4,1,5
56,5,1,5
166,5,1,5
58,5,1,5
59,5,1,5
60,5,1,5
61,5,1,5
62,4,1,5
167,5,1,5
2,2,2,3
3,3,2,3
4,1,2,3
5,2,2,3
6,1,2,3
7,2,2,3
8,2,2,3
9,3,2,3
10,3,2,3
11,0,2,3
12,2,2,3
13,2,2,3
14,2,2,3
15,3,2,3
16,2,2,3
17,2,2,3
19,0,2,3
20,0,2,3
21,3,2,3
94,2,2,3
22,2,2,3
23,3,2,3
24,3,2,3
25,2,2,3
26,2,2,3
27,2,2,3
28,1,2,3
162,0,2,3
29,3,2,3
106,2,2,3
30,2,2,3
31,2,2,3
32,2,2,3
33,3,2,3
34,3,2,3
36,3,2,3
163,3,2,3
37,2,2,3
38,0,2,3
39,2,2,3
40,0,2,3
41,2,2,3
42,3,2,3
43,2,2,3
44,2,2,3
45,2,2,3
164,1,2,3
47,2,2,3
48,2,2,3
49,2,2,3
50,1,2,3
51,1,2,3
165,0,2,3
52,1,2,3
53,2,2,3
54,2,2,3
55,2,2,3
56,1,2,3
166,2,2,3
58,3,2,3
59,3,2,3
60,1,2,3
61,2,2,3
62,3,2,3
167,1,2,3
2,3,3,3
3,3,3,3
4,3,3,3
5,3,3,3
6,2,3,3
7,3,3,3
8,2,3,3
9,2,3,3
10,2,3,3
11,0,3,3
12,2,3,3
13,2,3,3
14,1,3,3
15,2,3,3
16,2,3,3
17,3,3,3
19,3,3,3
20,3,3,3
21,1,3,3
94,1,3,3
22,0,3,3
23,3,3,3
24,2,3,3
25,3,3,3
26,1,3,3
27,3,3,3
28,2,3,3
162,3,3,3
29,3,3,3
106,1,3,3
30,1,3,3
31,2,3,3
32,2,3,3
33,3,3,3
34,3,3,3
36,3,3,3
163,3,3,3
37,1,3,3
38,3,3,3
39,3,3,3
40,1,3,3
41,3,3,3
42,3,3,3
43,3,3,3
44,1,3,3
45,3,3,3
164,1,3,3
47,3,3,3
48,0,3,3
49,1,3,3
50,3,3,3
51,3,3,3
165,3,3,3
52,3,3,3
53,2,3,3
54,3,3,3
55,3,3,3
56,3,3,3
166,2,3,3
58,3,3,3
59,3,3,3
60,0,3,3
61,3,3,3
62,2,3,3
167,2,3,3
2,1,4,3
3,3,4,3
4,3,4,3
5,3,4,3
6,2,4,3
7,1,4,3
8,3,4,3
9,3,4,3
10,3,4,3
11,0,4,3
12,1,4,3
13,3,4,3
14,3,4,3
15,2,4,3
16,3,4,3
17,3,4,3
19,1,4,3
20,0,4,3
21,2,4,3
94,2,4,3
22,2,4,3
23,2,4,3
24,2,4,3
25,3,4,3
26,1,4,3
27,1,4,3
28,1,4,3
162,2,4,3
29,3,4,3
106,2,4,3
30,2,4,3
31,3,4,3
32,2,4,3
33,3,4,3
34,2,4,3
36,3,4,3
163,3,4,3
37,2,4,3
38,1,4,3
39,3,4,3
40,2,4,3
41,1,4,3
42,3,4,3
43,2,4,3
44,2,4,3
45,3,4,3
164,1,4,3
47,3,4,3
48,2,4,3
49,3,4,3
50,2,4,3
51,3,4,3
165,1,4,3
52,2,4,3
53,2,4,3
54,3,4,3
55,1,4,3
56,2,4,3
166,3,4,3
58,3,4,3
59,3,4,3
60,2,4,3
61,2,4,3
62,1,4,3
167,1,4,3
2,2,5,3
3,3,5,3
4,3,5,3
5,3,5,3
6,2,5,3
7,1,5,3
8,3,5,3
9,3,5,3
10,2,5,3
11,0,5,3
12,2,5,3
13,3,5,3
14,2,5,3
15,3,5,3
16,3,5,3
17,2,5,3
19,1,5,3
20,1,5,3
21,3,5,3
94,2,5,3
22,1,5,3
23,3,5,3
24,3,5,3
25,2,5,3
26,0,5,3
27,1,5,3
28,3,5,3
162,3,5,3
29,3,5,3
106,3,5,3
30,2,5,3
31,3,5,3
32,2,5,3
33,3,5,3
34,3,5,3
36,3,5,3
163,3,5,3
37,2,5,3
38,3,5,3
39,3,5,3
40,1,5,3
41,2,5,3
42,3,5,3
43,3,5,3
44,2,5,3
45,3,5,3
164,1,5,3
47,3,5,3
48,2,5,3
49,1,5,3
50,3,5,3
51,3,5,3
165,1,5,3
52,2,5,3
53,2,5,3
54,2,5,3
55,1,5,3
56,2,5,3
166,2,5,3
58,2,5,3
59,2,5,3
60,1,5,3
61,3,5,3
62,2,5,3
167,3,5,3
2,0,6,2
3,2,6,2
4,1,6,2
5,2,6,2
6,1,6,2
7,2,6,2
8,2,6,2
9,2,6,2
10,2,6,2
11,0,6,2
12,1,6,2
13,2,6,2
14,1,6,2
15,2,6,2
16,0,6,2
17,2,6,2
19,1,6,2
20,2,6,2
21,1,6,2
94,0,6,2
22,2,6,2
23,2,6,2
24,1,6,2
25,2,6,2
26,1,6,2
27,1,6,2
28,1,6,2
162,0,6,2
